"Trevor Ariza, SF",HOU,67,33.9,0.51,1.15,1.66,7.02
"DeMarre Carroll, SF",BKN,73,29.9,0.24,1.41,1.65,6.64
"Delon Wright, PG",TOR,69,20.8,1.08,0.57,1.65,4.29
"Paul Millsap, PF",DEN,38,30.1,-0.60,2.14,1.54,3.35
"Marvin Williams, PF",CHA,78,25.7,0.47,1.05,1.52,6.05
"Andre Drummond, C",DET,78,33.7,-0.08,1.53,1.45,7.59
"Khris Middleton, SF",MIL,82,36.4,2.57,-1.17,1.40,8.61
"Jaylen Brown, SG",BOS,70,30.7,0.48,0.91,1.39,6.11
"James Johnson, PF",MIA,73,26.6,0.02,1.35,1.37,5.49
"Kevon Looney, SF",GS,66,13.8,-0.97,2.29,1.32,2.63
"Bradley Beal, SG",WSH,82,36.3,1.99,-0.74,1.25,8.31
"PJ Tucker, SF",HOU,82,27.8,0.06,1.15,1.21,6.27
"John Wall, PG",WSH,41,34.4,1.30,-0.13,1.17,3.96
"Thaddeus Young, PF",IND,81,32.2,-0.46,1.55,1.09,6.97
"Marreese Speights, PF",ORL,52,13.0,-0.01,1.07,1.06,1.80
"Ed Davis, PF",POR,78,18.9,-1.39,2.42,1.03,3.79
"Jonas Valanciunas, C",TOR,77,22.4,-0.13,1.12,0.99,4.60
"Jeremy Lamb, SG",CHA,80,24.6,1.62,-0.64,0.98,5.14
"Josh Richardson, SF",MIA,81,33.2,0.34,0.62,0.96,6.88
"Ersan Ilyasova, PF",ATL/PHI,69,25.1,0.62,0.30,0.92,3.03
"Royce O'Neale, SF",UTAH,69,16.7,-1.07,1.97,0.90,2.88
"Jose Calderon, PG",CLE,57,16.0,0.28,0.52,0.80,2.27
"Tim Hardaway Jr., SF",NY,57,33.1,1.28,-0.49,0.79,4.81
"Aaron Gordon, PF",ORL,58,32.9,0.22,0.50,0.72,4.81
"Montrezl Harrell, PF",LAC,76,17.0,1.01,-0.31,0.70,3.25
"Serge Ibaka, PF",TOR,76,27.5,-0.29,0.95,0.66,5.17
"Channing Frye, PF",CLE/LAL,53,13.1,-0.04,0.67,0.63,1.70
"Lou Williams, SG",LAC,79,32.8,4.25,-3.64,0.61,6.42
"Thabo Sefolosha, SF",UTAH,38,21.2,-0.64,1.97,1.33,2.26
"Tobias Harris, SF",DET/LAC,80,33.4,2.27,-1.02,1.25,7.51
"Terry Rozier, PG",BOS,80,25.9,1.18,0.04,1.22,5.64
"Kent Bazemore, SG",ATL,65,27.5,0.22,0.96,1.18,4.94
"Lonzo Ball, PG",LAL,52,34.2,-1.19,2.31,1.12,4.98
"Yogi Ferrell, PG",DAL,82,27.8,-0.12,1.21,1.09,6.04
"Justin Holiday, SG",CHI,72,31.5,0.25,0.81,1.06,6.16
"Pau Gasol, C",SA,77,23.5,-1.07,2.08,1.01,4.73
"Boban Marjanovic, C",DET/LAC,39,8.7,-0.47,1.45,0.98,0.91
"Nemanja Bjelica, PF",MIN,67,20.5,-0.36,1.32,0.96,3.61
"Marcus Smart, PG",BOS,54,29.9,-0.65,1.61,0.96,4.19
"Luc Mbah a Moute, PF",HOU,61,25.6,-0.80,1.72,0.92,3.97
"Kawhi Leonard, SF",SA,9,23.3,-1.18,1.99,0.81,0.53
"Langston Galloway, SG",DET,58,14.9,0.16,0.64,0.80,2.13
"Will Barton, SF",DEN,81,33.1,1.77,-1.03,0.74,6.55
"Anthony Tolliver, PF",DET,79,22.2,1.23,-0.53,0.70,4.24
"Jeff Teague, PG",MIN,70,33.0,1.43,-0.74,0.69,5.67
"Dwight Howard, C",CHA,81,30.4,-1.11,1.75,0.64,5.99
"John Henson, C",MIL,76,25.9,-1.67,2.30,0.63,4.71
"Dewayne Dedmon, C",ATL,62,24.9,-1.08,1.69,0.61,3.73
"OG Anunoby, SF",TOR,74,20.0,-0.32,0.91,0.59,3.56
"DeAndre Jordan, C",LAC,77,31.5,-0.75,1.32,0.57,5.79
"JJ Redick, SG",PHI,70,30.2,2.47,-1.92,0.55,5.15
"Jonas Jerebko, PF",UTAH,74,15.3,0.40,0.13,0.53,2.62
"Brandan Wright, F",HOU/MEM,28,13.6,-1.28,1.77,0.49,0.85
"Maximilian Kleber, PF",DAL,72,16.8,-1.49,1.96,0.47,2.77
"Mike Muscala, PF",ATL,53,20.0,0.09,0.35,0.44,2.49
"Myles Turner, C",IND,65,28.2,-1.21,1.64,0.43,4.17
"Willy Hernangomez, C",NY/CHA,48,10.3,-1.09,1.51,0.42,1.15
"Daniel Theis, PF",BOS,63,14.8,-1.30,1.68,0.38,2.04
"Dario Saric, PF",PHI,78,29.6,0.97,-0.64,0.33,5.25
"Brook Lopez, C",LAL,74,23.4,0.20,0.09,0.29,3.94
"Rudy Gay, SF",SA,57,21.6,-0.54,0.81,0.27,2.62
"Justise Winslow, SF",MIA,68,24.7,-1.69,1.96,0.27,3.60
